Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1μF,C_0402_1005Metric,133.75,-102.4,0.0,bottom
C11,0.1μF,C_0402_1005Metric,138.06,-90.01,90.0,bottom
C12,0.1μF,C_0402_1005Metric,140.78,-94.12,180.0,bottom
C13,0.1μF,C_0402_1005Metric,136.36,-90.29,90.0,bottom
C14,0.1μF,C_0402_1005Metric,135.34,-91.32,90.0,bottom
C15,0.1μF,C_0402_1005Metric,141.72,-98.66,180.0,bottom
C16,0.1μF,C_0402_1005Metric,129.67,-98.67,0.0,bottom
C17,0.1μF,C_0402_1005Metric,130.67,-95.01,0.0,bottom
C18,0.1μF,C_0402_1005Metric,133.75,-103.33,0.0,bottom
C2,4.7μF,C_0402_1005Metric,147.56,-50.41,0.0,bottom
C3,10μF,C_0402_1005Metric,147.73,-54.41,90.0,bottom
C4,0.1μF,C_0402_1005Metric,92.86875,-35.71875,180.0,bottom
C5,1μF,C_0402_1005Metric,92.86875,-40.48125,0.0,bottom
C6,27pF,C_0402_1005Metric,133.11,-104.82,90.0,bottom
C7,27pF,C_0402_1005Metric,138.32,-104.48,90.0,bottom
C8,1μF,C_0402_1005Metric,131.65,-92.73,0.0,bottom
C9,1μF,C_0402_1005Metric,132.31,-91.27,90.0,bottom
D1,D,D_SOD-523,38.1,-38.1,90.0,bottom
D10,D,D_SOD-523,209.0,-45.0,0.0,bottom
D11,D,D_SOD-523,228.0,-45.0,0.0,bottom
D12,D,D_SOD-523,247.0,-43.0,90.0,bottom
D13,D,D_SOD-523,39.0,-64.0,0.0,bottom
D14,D,D_SOD-523,57.0,-64.0,0.0,bottom
D15,D,D_SOD-523,76.2,-64.0,0.0,bottom
D16,D,D_SOD-523,95.25,-64.0,0.0,bottom
D17,D,D_SOD-523,114.3,-64.0,0.0,bottom
D18,D,D_SOD-523,133.35,-64.0,0.0,bottom
D19,D,D_SOD-523,152.4,-64.0,0.0,bottom
D2,D,D_SOD-523,57.0,-45.0,0.0,bottom
D20,D,D_SOD-523,171.45,-64.0,0.0,bottom
D21,D,D_SOD-523,190.5,-64.0,0.0,bottom
D22,D,D_SOD-523,209.55,-64.0,0.0,bottom
D23,D,D_SOD-523,228.6,-64.2,0.0,bottom
D24,D,D_SOD-523,247.65,-64.0,0.0,bottom
D25,D,D_SOD-523,38.1,-83.0,0.0,bottom
D26,D,D_SOD-523,57.0,-83.0,0.0,bottom
D27,D,D_SOD-523,76.0,-83.0,0.0,bottom
D28,D,D_SOD-523,95.3,-83.0,0.0,bottom
D29,D,D_SOD-523,114.3,-83.0,0.0,bottom
D3,D,D_SOD-523,76.0,-45.0,0.0,bottom
D30,D,D_SOD-523,133.35,-83.0,0.0,bottom
D31,D,D_SOD-523,152.4,-83.0,0.0,bottom
D32,D,D_SOD-523,171.45,-83.0,0.0,bottom
D33,D,D_SOD-523,190.5,-83.0,0.0,bottom
D34,D,D_SOD-523,209.55,-83.0,0.0,bottom
D35,D,D_SOD-523,228.6,-83.0,0.0,bottom
D36,D,D_SOD-523,247.65,-83.0,0.0,bottom
D37,D,D_SOD-523,38.1,-102.0,0.0,bottom
D38,D,D_SOD-523,57.15,-102.0,0.0,bottom
D39,D,D_SOD-523,76.0,-102.0,0.0,bottom
D4,D,D_SOD-523,95.0,-45.0,0.0,bottom
D40,D,D_SOD-523,95.25,-102.0,0.0,bottom
D41,D,D_SOD-523,114.3,-102.0,0.0,bottom
D42,D,D_SOD-523,145.7,-101.98,0.0,bottom
D43,D,D_SOD-523,171.45,-102.0,0.0,bottom
D44,D,D_SOD-523,190.5,-102.0,0.0,bottom
D45,D,D_SOD-523,209.55,-102.0,0.0,bottom
D46,D,D_SOD-523,228.6,-102.0,0.0,bottom
D47,D,D_SOD-523,248.0,-102.0,0.0,bottom
D48,D,D_SOD-523,40.48125,-35.71875,90.0,bottom
D5,D,D_SOD-523,114.0,-45.0,0.0,bottom
D6,D,D_SOD-523,133.0,-45.0,0.0,bottom
D7,D,D_SOD-523,152.4,-45.24375,0.0,bottom
D8,D,D_SOD-523,171.0,-45.0,0.0,bottom
D9,D,D_SOD-523,190.0,-45.0,0.0,bottom
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,150.0,-34.46,180.0,bottom
LED1,YS-SK6812MINI-E,YS-SK6812MINI-E,45.24375,-38.1,180.0,bottom
LED10,YS-SK6812MINI-E,YS-SK6812MINI-E,216.69375,-38.1,180.0,bottom
LED11,YS-SK6812MINI-E,YS-SK6812MINI-E,235.74375,-38.1,180.0,bottom
LED12,YS-SK6812MINI-E,YS-SK6812MINI-E,254.79375,-38.1,180.0,bottom
LED13,YS-SK6812MINI-E,YS-SK6812MINI-E,45.24375,-57.15,0.0,bottom
LED14,YS-SK6812MINI-E,YS-SK6812MINI-E,64.29375,-57.15,0.0,bottom
LED15,YS-SK6812MINI-E,YS-SK6812MINI-E,83.34375,-57.15,0.0,bottom
LED16,YS-SK6812MINI-E,YS-SK6812MINI-E,102.39375,-57.15,0.0,bottom
LED17,YS-SK6812MINI-E,YS-SK6812MINI-E,121.44375,-57.15,0.0,bottom
LED18,YS-SK6812MINI-E,YS-SK6812MINI-E,140.49375,-57.15,0.0,bottom
LED19,YS-SK6812MINI-E,YS-SK6812MINI-E,159.54375,-57.15,0.0,bottom
